source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,4,"[30, 24, 33, 0]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-0']",0.11227935552597046
all,Unknown-all,4,"[30, 24, 33, 1]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-1']",0.11371347308158875
all,Unknown-all,4,"[30, 24, 33, 2]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-2']",0.11500813066959381
all,Unknown-all,4,"[30, 24, 33, 3]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-3']",0.11895360797643661
all,Unknown-all,4,"[30, 24, 33, 4]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-4']",0.11737386137247086
all,Unknown-all,4,"[30, 24, 33, 5]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-5']",0.11408299207687378
all,Unknown-all,4,"[30, 24, 33, 6]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-6']",0.1141284629702568
all,Unknown-all,4,"[30, 24, 33, 7]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-7']",0.11311782151460648
all,Unknown-all,4,"[30, 24, 33, 8]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-8']",0.11288949102163315
all,Unknown-all,4,"[30, 24, 33, 9]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-9']",0.11348618566989899
all,Unknown-all,4,"[30, 24, 33, 10]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-10']",0.11754746735095978
all,Unknown-all,4,"[30, 24, 33, 11]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-11']",0.11567456275224686
all,Unknown-all,4,"[30, 24, 33, 12]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-12']",0.11268974840641022
all,Unknown-all,4,"[30, 24, 33, 13]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-13']",0.11464186757802963
all,Unknown-all,4,"[30, 24, 33, 14]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-14']",0.11422252655029297
all,Unknown-all,4,"[30, 24, 33, 15]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-15']",0.11470798403024673
all,Unknown-all,4,"[30, 24, 33, 16]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-16']",0.11525173485279083
all,Unknown-all,4,"[30, 24, 33, 17]","['Unknown-30', 'Unknown-24', 'Unknown-33', 'Unknown-17']",0.12354056537151337
