source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,2,"[20, 0]","['Unknown-20', 'Unknown-0']",0.219133198261261
all,Unknown-all,2,"[20, 1]","['Unknown-20', 'Unknown-1']",0.22085455060005188
all,Unknown-all,2,"[20, 2]","['Unknown-20', 'Unknown-2']",0.22855493426322937
all,Unknown-all,2,"[20, 3]","['Unknown-20', 'Unknown-3']",0.23265796899795532
all,Unknown-all,2,"[20, 4]","['Unknown-20', 'Unknown-4']",0.23310083150863647
all,Unknown-all,2,"[20, 5]","['Unknown-20', 'Unknown-5']",0.2263556569814682
all,Unknown-all,2,"[20, 6]","['Unknown-20', 'Unknown-6']",0.2228623926639557
all,Unknown-all,2,"[20, 7]","['Unknown-20', 'Unknown-7']",0.22197380661964417
all,Unknown-all,2,"[20, 8]","['Unknown-20', 'Unknown-8']",0.2207215577363968
all,Unknown-all,2,"[20, 9]","['Unknown-20', 'Unknown-9']",0.22356867790222168
all,Unknown-all,2,"[20, 10]","['Unknown-20', 'Unknown-10']",0.2290555089712143
all,Unknown-all,2,"[20, 11]","['Unknown-20', 'Unknown-11']",0.218647763133049
all,Unknown-all,2,"[20, 12]","['Unknown-20', 'Unknown-12']",0.21817021071910858
all,Unknown-all,2,"[20, 13]","['Unknown-20', 'Unknown-13']",0.22648712992668152
all,Unknown-all,2,"[20, 14]","['Unknown-20', 'Unknown-14']",0.21901026368141174
all,Unknown-all,2,"[20, 15]","['Unknown-20', 'Unknown-15']",0.22316765785217285
all,Unknown-all,2,"[20, 16]","['Unknown-20', 'Unknown-16']",0.21997632086277008
all,Unknown-all,2,"[20, 17]","['Unknown-20', 'Unknown-17']",0.25257694721221924
all,Unknown-all,2,"[20, 18]","['Unknown-20', 'Unknown-18']",0.22589904069900513
all,Unknown-all,2,"[20, 19]","['Unknown-20', 'Unknown-19']",0.22868484258651733
all,Unknown-all,2,"[20, 21]","['Unknown-20', 'Unknown-21']",0.22249257564544678
all,Unknown-all,2,"[20, 22]","['Unknown-20', 'Unknown-22']",0.2217358648777008
all,Unknown-all,2,"[20, 23]","['Unknown-20', 'Unknown-23']",0.2234097719192505
all,Unknown-all,2,"[20, 24]","['Unknown-20', 'Unknown-24']",0.22143080830574036
all,Unknown-all,2,"[20, 25]","['Unknown-20', 'Unknown-25']",0.22171813249588013
all,Unknown-all,2,"[20, 26]","['Unknown-20', 'Unknown-26']",0.23212988674640656
all,Unknown-all,2,"[20, 27]","['Unknown-20', 'Unknown-27']",0.22075213491916656
all,Unknown-all,2,"[20, 28]","['Unknown-20', 'Unknown-28']",0.22127653658390045
all,Unknown-all,2,"[20, 29]","['Unknown-20', 'Unknown-29']",0.2209058701992035
all,Unknown-all,2,"[20, 30]","['Unknown-20', 'Unknown-30']",0.2160423994064331
all,Unknown-all,2,"[20, 31]","['Unknown-20', 'Unknown-31']",0.22171556949615479
all,Unknown-all,2,"[20, 32]","['Unknown-20', 'Unknown-32']",0.22224105894565582
all,Unknown-all,2,"[20, 33]","['Unknown-20', 'Unknown-33']",0.22373008728027344
all,Unknown-all,2,"[20, 34]","['Unknown-20', 'Unknown-34']",0.2339477241039276
all,Unknown-all,2,"[20, 35]","['Unknown-20', 'Unknown-35']",0.22547850012779236
all,Unknown-all,2,"[20, 36]","['Unknown-20', 'Unknown-36']",0.2298276424407959
all,Unknown-all,2,"[20, 37]","['Unknown-20', 'Unknown-37']",0.22884029150009155
all,Unknown-all,2,"[20, 38]","['Unknown-20', 'Unknown-38']",0.22423085570335388
all,Unknown-all,2,"[20, 39]","['Unknown-20', 'Unknown-39']",0.2176511585712433
all,Unknown-all,2,"[20, 40]","['Unknown-20', 'Unknown-40']",0.22699029743671417
all,Unknown-all,2,"[20, 41]","['Unknown-20', 'Unknown-41']",0.21901993453502655
all,Unknown-all,2,"[20, 42]","['Unknown-20', 'Unknown-42']",0.21991600096225739
all,Unknown-all,2,"[20, 43]","['Unknown-20', 'Unknown-43']",0.22455641627311707
all,Unknown-all,2,"[20, 44]","['Unknown-20', 'Unknown-44']",0.2269035428762436
all,Unknown-all,2,"[20, 45]","['Unknown-20', 'Unknown-45']",0.21969062089920044
all,Unknown-all,2,"[20, 46]","['Unknown-20', 'Unknown-46']",0.23186293244361877
all,Unknown-all,2,"[20, 47]","['Unknown-20', 'Unknown-47']",0.22183628380298615
all,Unknown-all,2,"[20, 48]","['Unknown-20', 'Unknown-48']",0.22278232872486115
all,Unknown-all,2,"[20, 49]","['Unknown-20', 'Unknown-49']",0.22106342017650604
all,Unknown-all,2,"[20, 50]","['Unknown-20', 'Unknown-50']",0.2215276062488556
all,Unknown-all,2,"[20, 51]","['Unknown-20', 'Unknown-51']",0.22500114142894745
all,Unknown-all,2,"[20, 52]","['Unknown-20', 'Unknown-52']",0.22707301378250122
all,Unknown-all,2,"[20, 53]","['Unknown-20', 'Unknown-53']",0.22058480978012085
all,Unknown-all,2,"[20, 54]","['Unknown-20', 'Unknown-54']",0.22233064472675323
all,Unknown-all,2,"[20, 55]","['Unknown-20', 'Unknown-55']",0.2219589650630951
all,Unknown-all,2,"[20, 56]","['Unknown-20', 'Unknown-56']",0.2188858687877655
all,Unknown-all,2,"[20, 57]","['Unknown-20', 'Unknown-57']",0.22249796986579895
all,Unknown-all,2,"[20, 58]","['Unknown-20', 'Unknown-58']",0.2253139764070511
all,Unknown-all,2,"[20, 59]","['Unknown-20', 'Unknown-59']",0.22248896956443787
all,Unknown-all,2,"[20, 60]","['Unknown-20', 'Unknown-60']",0.21531817317008972
all,Unknown-all,2,"[20, 61]","['Unknown-20', 'Unknown-61']",0.2185949683189392
