source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
12,Unknown-12,4,"[10, 0, 57, 1]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-1']",0.33749478147365153
12,Unknown-12,4,"[10, 0, 57, 2]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-2']",0.3435366766061634
12,Unknown-12,4,"[10, 0, 57, 3]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-3']",0.34060940612107515
12,Unknown-12,4,"[10, 0, 57, 4]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-4']",0.34455828461796045
12,Unknown-12,4,"[10, 0, 57, 5]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-5']",0.3402360575273633
12,Unknown-12,4,"[10, 0, 57, 6]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-6']",0.33898966666311026
12,Unknown-12,4,"[10, 0, 57, 7]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-7']",0.3317840853706002
12,Unknown-12,4,"[10, 0, 57, 8]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-8']",0.3381809340789914
12,Unknown-12,4,"[10, 0, 57, 9]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-9']",0.3290783790871501
12,Unknown-12,4,"[10, 0, 57, 11]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-11']",0.3428623750805855
12,Unknown-12,4,"[10, 0, 57, 13]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-13']",0.33559099212288857
12,Unknown-12,4,"[10, 0, 57, 14]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-14']",0.34644752833992243
12,Unknown-12,4,"[10, 0, 57, 15]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-15']",0.3435603091493249
12,Unknown-12,4,"[10, 0, 57, 16]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-16']",0.34173978958278894
12,Unknown-12,4,"[10, 0, 57, 17]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-17']",0.35590778291225433
12,Unknown-12,4,"[10, 0, 57, 18]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-18']",0.3390277288854122
12,Unknown-12,4,"[10, 0, 57, 19]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-19']",0.3446522606536746
12,Unknown-12,4,"[10, 0, 57, 20]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-20']",0.3420966896228492
12,Unknown-12,4,"[10, 0, 57, 21]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-21']",0.34488869924098253
12,Unknown-12,4,"[10, 0, 57, 22]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-22']",0.34223423805087805
12,Unknown-12,4,"[10, 0, 57, 23]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-23']",0.34625596832484007
12,Unknown-12,4,"[10, 0, 57, 24]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-24']",0.3448307039216161
12,Unknown-12,4,"[10, 0, 57, 25]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-25']",0.3467634432017803
12,Unknown-12,4,"[10, 0, 57, 26]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-26']",0.34402818139642477
12,Unknown-12,4,"[10, 0, 57, 27]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-27']",0.34375211875885725
12,Unknown-12,4,"[10, 0, 57, 28]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-28']",0.3361065215431154
12,Unknown-12,4,"[10, 0, 57, 29]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-29']",0.34396663028746843
12,Unknown-12,4,"[10, 0, 57, 30]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-30']",0.34259519539773464
12,Unknown-12,4,"[10, 0, 57, 31]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-31']",0.33696256298571825
12,Unknown-12,4,"[10, 0, 57, 32]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-32']",0.3350745076313615
12,Unknown-12,4,"[10, 0, 57, 33]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-33']",0.3417560802772641
12,Unknown-12,4,"[10, 0, 57, 34]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-34']",0.3473210632801056
12,Unknown-12,4,"[10, 0, 57, 35]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-35']",0.32926119957119226
12,Unknown-12,4,"[10, 0, 57, 36]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-36']",0.339072591625154
12,Unknown-12,4,"[10, 0, 57, 37]","['Unknown-10', 'Unknown-0', 'Unknown-57', 'Unknown-37']",0.3451207419857383
