source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,1,[0],['Unknown-0'],0.6415027976036072
all,Unknown-all,1,[1],['Unknown-1'],0.5730814933776855
all,Unknown-all,1,[2],['Unknown-2'],0.660110354423523
all,Unknown-all,1,[3],['Unknown-3'],0.61444091796875
all,Unknown-all,1,[4],['Unknown-4'],0.6378597021102905
all,Unknown-all,1,[5],['Unknown-5'],0.6400917768478394
all,Unknown-all,1,[6],['Unknown-6'],0.5559717416763306
all,Unknown-all,1,[7],['Unknown-7'],0.5802962779998779
all,Unknown-all,1,[8],['Unknown-8'],0.5829042792320251
all,Unknown-all,1,[9],['Unknown-9'],0.630653977394104
all,Unknown-all,1,[10],['Unknown-10'],0.5881687998771667
all,Unknown-all,1,[11],['Unknown-11'],0.5473800897598267
all,Unknown-all,1,[12],['Unknown-12'],0.570520281791687
all,Unknown-all,1,[13],['Unknown-13'],0.6670761108398438
all,Unknown-all,1,[14],['Unknown-14'],0.5739518404006958
all,Unknown-all,1,[15],['Unknown-15'],0.5961884260177612
all,Unknown-all,1,[16],['Unknown-16'],0.5859235525131226
all,Unknown-all,1,[17],['Unknown-17'],0.6379655003547668
all,Unknown-all,1,[18],['Unknown-18'],0.5496790409088135
all,Unknown-all,1,[19],['Unknown-19'],0.6792993545532227
all,Unknown-all,1,[20],['Unknown-20'],0.5362640619277954
all,Unknown-all,1,[21],['Unknown-21'],0.5460904836654663
all,Unknown-all,1,[22],['Unknown-22'],0.6104532480239868
all,Unknown-all,1,[23],['Unknown-23'],0.6452560424804688
all,Unknown-all,1,[24],['Unknown-24'],0.5867180824279785
all,Unknown-all,1,[25],['Unknown-25'],0.5740896463394165
all,Unknown-all,1,[26],['Unknown-26'],0.5585911273956299
all,Unknown-all,1,[27],['Unknown-27'],0.5489577054977417
all,Unknown-all,1,[28],['Unknown-28'],0.5667749643325806
all,Unknown-all,1,[29],['Unknown-29'],0.5943431854248047
all,Unknown-all,1,[30],['Unknown-30'],0.5744354128837585
all,Unknown-all,1,[31],['Unknown-31'],0.5817587375640869
all,Unknown-all,1,[32],['Unknown-32'],0.5577248334884644
all,Unknown-all,1,[33],['Unknown-33'],0.5406732559204102
all,Unknown-all,1,[34],['Unknown-34'],0.5489171147346497
all,Unknown-all,1,[35],['Unknown-35'],0.6515675783157349
all,Unknown-all,1,[36],['Unknown-36'],0.6047331094741821
all,Unknown-all,1,[37],['Unknown-37'],0.6278886198997498
all,Unknown-all,1,[38],['Unknown-38'],0.6231655478477478
all,Unknown-all,1,[39],['Unknown-39'],0.560749888420105
all,Unknown-all,1,[40],['Unknown-40'],0.627202033996582
all,Unknown-all,1,[41],['Unknown-41'],0.5884799957275391
all,Unknown-all,1,[42],['Unknown-42'],0.5307977199554443
all,Unknown-all,1,[43],['Unknown-43'],0.5975315570831299
all,Unknown-all,1,[44],['Unknown-44'],0.5943240523338318
all,Unknown-all,1,[45],['Unknown-45'],0.583969235420227
all,Unknown-all,1,[46],['Unknown-46'],0.5898109674453735
all,Unknown-all,1,[47],['Unknown-47'],0.5326713919639587
all,Unknown-all,1,[48],['Unknown-48'],0.5672079920768738
all,Unknown-all,1,[49],['Unknown-49'],0.5813872814178467
all,Unknown-all,1,[50],['Unknown-50'],0.5801889896392822
all,Unknown-all,1,[51],['Unknown-51'],0.5915629267692566
all,Unknown-all,1,[52],['Unknown-52'],0.637397825717926
all,Unknown-all,1,[53],['Unknown-53'],0.583114504814148
all,Unknown-all,1,[54],['Unknown-54'],0.5880554914474487
all,Unknown-all,1,[55],['Unknown-55'],0.5774160623550415
all,Unknown-all,1,[56],['Unknown-56'],0.5588836073875427
all,Unknown-all,1,[57],['Unknown-57'],0.5271766185760498
all,Unknown-all,1,[58],['Unknown-58'],0.5615688562393188
all,Unknown-all,1,[59],['Unknown-59'],0.5548744201660156
all,Unknown-all,1,[60],['Unknown-60'],0.5515654683113098
all,Unknown-all,1,[61],['Unknown-61'],0.6024323105812073
