source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,3,"[30, 35, 0]","['Unknown-30', 'Unknown-35', 'Unknown-0']",0.1643950492143631
all,Unknown-all,3,"[30, 35, 1]","['Unknown-30', 'Unknown-35', 'Unknown-1']",0.15760479867458344
all,Unknown-all,3,"[30, 35, 2]","['Unknown-30', 'Unknown-35', 'Unknown-2']",0.15960593521595
all,Unknown-all,3,"[30, 35, 3]","['Unknown-30', 'Unknown-35', 'Unknown-3']",0.17842933535575867
all,Unknown-all,3,"[30, 35, 4]","['Unknown-30', 'Unknown-35', 'Unknown-4']",0.1661904752254486
all,Unknown-all,3,"[30, 35, 5]","['Unknown-30', 'Unknown-35', 'Unknown-5']",0.1678653359413147
all,Unknown-all,3,"[30, 35, 6]","['Unknown-30', 'Unknown-35', 'Unknown-6']",0.16830182075500488
all,Unknown-all,3,"[30, 35, 7]","['Unknown-30', 'Unknown-35', 'Unknown-7']",0.1642201691865921
all,Unknown-all,3,"[30, 35, 8]","['Unknown-30', 'Unknown-35', 'Unknown-8']",0.1667364537715912
all,Unknown-all,3,"[30, 35, 9]","['Unknown-30', 'Unknown-35', 'Unknown-9']",0.1669994294643402
all,Unknown-all,3,"[30, 35, 10]","['Unknown-30', 'Unknown-35', 'Unknown-10']",0.17005422711372375
all,Unknown-all,3,"[30, 35, 11]","['Unknown-30', 'Unknown-35', 'Unknown-11']",0.1601642519235611
all,Unknown-all,3,"[30, 35, 12]","['Unknown-30', 'Unknown-35', 'Unknown-12']",0.1621626913547516
all,Unknown-all,3,"[30, 35, 13]","['Unknown-30', 'Unknown-35', 'Unknown-13']",0.15954118967056274
all,Unknown-all,3,"[30, 35, 14]","['Unknown-30', 'Unknown-35', 'Unknown-14']",0.15828944742679596
all,Unknown-all,3,"[30, 35, 15]","['Unknown-30', 'Unknown-35', 'Unknown-15']",0.15821602940559387
all,Unknown-all,3,"[30, 35, 16]","['Unknown-30', 'Unknown-35', 'Unknown-16']",0.1597997397184372
all,Unknown-all,3,"[30, 35, 17]","['Unknown-30', 'Unknown-35', 'Unknown-17']",0.16657646000385284
all,Unknown-all,3,"[30, 35, 18]","['Unknown-30', 'Unknown-35', 'Unknown-18']",0.15811225771903992
all,Unknown-all,3,"[30, 35, 19]","['Unknown-30', 'Unknown-35', 'Unknown-19']",0.14468199014663696
all,Unknown-all,3,"[30, 35, 20]","['Unknown-30', 'Unknown-35', 'Unknown-20']",0.15440256893634796
all,Unknown-all,3,"[30, 35, 21]","['Unknown-30', 'Unknown-35', 'Unknown-21']",0.1589495837688446
all,Unknown-all,3,"[30, 35, 22]","['Unknown-30', 'Unknown-35', 'Unknown-22']",0.15857654809951782
all,Unknown-all,3,"[30, 35, 23]","['Unknown-30', 'Unknown-35', 'Unknown-23']",0.15924754738807678
all,Unknown-all,3,"[30, 35, 24]","['Unknown-30', 'Unknown-35', 'Unknown-24']",0.16466477513313293
all,Unknown-all,3,"[30, 35, 25]","['Unknown-30', 'Unknown-35', 'Unknown-25']",0.15747526288032532
all,Unknown-all,3,"[30, 35, 26]","['Unknown-30', 'Unknown-35', 'Unknown-26']",0.16595889627933502
all,Unknown-all,3,"[30, 35, 27]","['Unknown-30', 'Unknown-35', 'Unknown-27']",0.16974550485610962
all,Unknown-all,3,"[30, 35, 28]","['Unknown-30', 'Unknown-35', 'Unknown-28']",0.15469813346862793
all,Unknown-all,3,"[30, 35, 29]","['Unknown-30', 'Unknown-35', 'Unknown-29']",0.15970353782176971
all,Unknown-all,3,"[30, 35, 31]","['Unknown-30', 'Unknown-35', 'Unknown-31']",0.15542009472846985
all,Unknown-all,3,"[30, 35, 32]","['Unknown-30', 'Unknown-35', 'Unknown-32']",0.16583329439163208
all,Unknown-all,3,"[30, 35, 33]","['Unknown-30', 'Unknown-35', 'Unknown-33']",0.1538177728652954
all,Unknown-all,3,"[30, 35, 34]","['Unknown-30', 'Unknown-35', 'Unknown-34']",0.16254135966300964
all,Unknown-all,3,"[30, 35, 36]","['Unknown-30', 'Unknown-35', 'Unknown-36']",0.15710589289665222
all,Unknown-all,3,"[30, 35, 37]","['Unknown-30', 'Unknown-35', 'Unknown-37']",0.15237009525299072
all,Unknown-all,3,"[30, 35, 38]","['Unknown-30', 'Unknown-35', 'Unknown-38']",0.15504080057144165
all,Unknown-all,3,"[30, 35, 39]","['Unknown-30', 'Unknown-35', 'Unknown-39']",0.1579016000032425
all,Unknown-all,3,"[30, 35, 40]","['Unknown-30', 'Unknown-35', 'Unknown-40']",0.1594589352607727
all,Unknown-all,3,"[30, 35, 41]","['Unknown-30', 'Unknown-35', 'Unknown-41']",0.15901009738445282
all,Unknown-all,3,"[30, 35, 42]","['Unknown-30', 'Unknown-35', 'Unknown-42']",0.1575177013874054
all,Unknown-all,3,"[30, 35, 43]","['Unknown-30', 'Unknown-35', 'Unknown-43']",0.16350451111793518
all,Unknown-all,3,"[30, 35, 44]","['Unknown-30', 'Unknown-35', 'Unknown-44']",0.16103562712669373
all,Unknown-all,3,"[30, 35, 45]","['Unknown-30', 'Unknown-35', 'Unknown-45']",0.1650000512599945
all,Unknown-all,3,"[30, 35, 46]","['Unknown-30', 'Unknown-35', 'Unknown-46']",0.1510256826877594
all,Unknown-all,3,"[30, 35, 47]","['Unknown-30', 'Unknown-35', 'Unknown-47']",0.16009333729743958
all,Unknown-all,3,"[30, 35, 48]","['Unknown-30', 'Unknown-35', 'Unknown-48']",0.1535297930240631
all,Unknown-all,3,"[30, 35, 49]","['Unknown-30', 'Unknown-35', 'Unknown-49']",0.16501542925834656
