source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
57,Unknown-57,4,"[56, 19, 20, 0]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-0']",0.2205074024386704
57,Unknown-57,4,"[56, 19, 20, 1]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-1']",0.21011851029470563
57,Unknown-57,4,"[56, 19, 20, 2]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-2']",0.20290217734873295
57,Unknown-57,4,"[56, 19, 20, 3]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-3']",0.23857046058401465
57,Unknown-57,4,"[56, 19, 20, 4]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-4']",0.18892639316618443
57,Unknown-57,4,"[56, 19, 20, 5]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-5']",0.22529489174485207
57,Unknown-57,4,"[56, 19, 20, 6]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-6']",0.21841086633503437
57,Unknown-57,4,"[56, 19, 20, 7]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-7']",0.1967477914877236
57,Unknown-57,4,"[56, 19, 20, 8]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-8']",0.22417854145169258
57,Unknown-57,4,"[56, 19, 20, 9]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-9']",0.22114170482382178
57,Unknown-57,4,"[56, 19, 20, 10]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-10']",0.2088472004979849
57,Unknown-57,4,"[56, 19, 20, 11]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-11']",0.1981542007997632
57,Unknown-57,4,"[56, 19, 20, 12]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-12']",0.2031666412949562
57,Unknown-57,4,"[56, 19, 20, 13]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-13']",0.18487882474437356
57,Unknown-57,4,"[56, 19, 20, 14]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-14']",0.19786231918260455
57,Unknown-57,4,"[56, 19, 20, 15]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-15']",0.19218814373016357
57,Unknown-57,4,"[56, 19, 20, 16]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-16']",0.20417574094608426
57,Unknown-57,4,"[56, 19, 20, 17]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-17']",0.18263003369793296
57,Unknown-57,4,"[56, 19, 20, 18]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-18']",0.18913373351097107
57,Unknown-57,4,"[56, 19, 20, 21]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-21']",0.1940886965021491
57,Unknown-57,4,"[56, 19, 20, 22]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-22']",0.20405618520453572
57,Unknown-57,4,"[56, 19, 20, 23]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-23']",0.19428199669346213
57,Unknown-57,4,"[56, 19, 20, 24]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-24']",0.20133434212766588
57,Unknown-57,4,"[56, 19, 20, 25]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-25']",0.20373585633933544
57,Unknown-57,4,"[56, 19, 20, 26]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-26']",0.2258611097931862
57,Unknown-57,4,"[56, 19, 20, 27]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-27']",0.19721669307909906
57,Unknown-57,4,"[56, 19, 20, 28]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-28']",0.17738810321316123
57,Unknown-57,4,"[56, 19, 20, 29]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-29']",0.1999620171263814
57,Unknown-57,4,"[56, 19, 20, 30]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-30']",0.19669334078207612
57,Unknown-57,4,"[56, 19, 20, 31]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-31']",0.19966034777462482
57,Unknown-57,4,"[56, 19, 20, 32]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-32']",0.21688665763940662
57,Unknown-57,4,"[56, 19, 20, 33]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-33']",0.1864988300258119
57,Unknown-57,4,"[56, 19, 20, 34]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-34']",0.19385398738086224
57,Unknown-57,4,"[56, 19, 20, 35]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-35']",0.18712657084688544
57,Unknown-57,4,"[56, 19, 20, 36]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-36']",0.1861166839953512
57,Unknown-57,4,"[56, 19, 20, 37]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-37']",0.16167106479406357
57,Unknown-57,4,"[56, 19, 20, 38]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-38']",0.18240858428180218
57,Unknown-57,4,"[56, 19, 20, 39]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-39']",0.20071720908163115
57,Unknown-57,4,"[56, 19, 20, 40]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-40']",0.1801187286619097
57,Unknown-57,4,"[56, 19, 20, 41]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-41']",0.2118370239622891
57,Unknown-57,4,"[56, 19, 20, 42]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-42']",0.19106406811624765
57,Unknown-57,4,"[56, 19, 20, 43]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-43']",0.20666725700721145
57,Unknown-57,4,"[56, 19, 20, 44]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-44']",0.20775971608236432
57,Unknown-57,4,"[56, 19, 20, 45]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-45']",0.2166810140479356
57,Unknown-57,4,"[56, 19, 20, 46]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-46']",0.17075846157968044
57,Unknown-57,4,"[56, 19, 20, 47]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-47']",0.1941485097631812
57,Unknown-57,4,"[56, 19, 20, 48]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-48']",0.1844202586216852
57,Unknown-57,4,"[56, 19, 20, 49]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-49']",0.21831484511494637
57,Unknown-57,4,"[56, 19, 20, 50]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-50']",0.19245388265699148
57,Unknown-57,4,"[56, 19, 20, 51]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-51']",0.2144725015386939
57,Unknown-57,4,"[56, 19, 20, 52]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-52']",0.1740117291919887
57,Unknown-57,4,"[56, 19, 20, 53]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-53']",0.19441053876653314
57,Unknown-57,4,"[56, 19, 20, 54]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-54']",0.19445023639127612
57,Unknown-57,4,"[56, 19, 20, 55]","['Unknown-56', 'Unknown-19', 'Unknown-20', 'Unknown-55']",0.20866162329912186
