source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,2,"[31, 0]","['Unknown-31', 'Unknown-0']",0.26700419187545776
all,Unknown-all,2,"[31, 1]","['Unknown-31', 'Unknown-1']",0.2453819364309311
all,Unknown-all,2,"[31, 2]","['Unknown-31', 'Unknown-2']",0.24944370985031128
all,Unknown-all,2,"[31, 3]","['Unknown-31', 'Unknown-3']",0.28729721903800964
all,Unknown-all,2,"[31, 4]","['Unknown-31', 'Unknown-4']",0.25147056579589844
all,Unknown-all,2,"[31, 5]","['Unknown-31', 'Unknown-5']",0.2665698528289795
all,Unknown-all,2,"[31, 6]","['Unknown-31', 'Unknown-6']",0.27341222763061523
all,Unknown-all,2,"[31, 7]","['Unknown-31', 'Unknown-7']",0.26660919189453125
all,Unknown-all,2,"[31, 8]","['Unknown-31', 'Unknown-8']",0.2673954367637634
all,Unknown-all,2,"[31, 9]","['Unknown-31', 'Unknown-9']",0.276388555765152
all,Unknown-all,2,"[31, 10]","['Unknown-31', 'Unknown-10']",0.2590301036834717
all,Unknown-all,2,"[31, 11]","['Unknown-31', 'Unknown-11']",0.2314678132534027
all,Unknown-all,2,"[31, 12]","['Unknown-31', 'Unknown-12']",0.24727852642536163
all,Unknown-all,2,"[31, 13]","['Unknown-31', 'Unknown-13']",0.23790359497070312
all,Unknown-all,2,"[31, 14]","['Unknown-31', 'Unknown-14']",0.24155229330062866
all,Unknown-all,2,"[31, 15]","['Unknown-31', 'Unknown-15']",0.231062114238739
all,Unknown-all,2,"[31, 16]","['Unknown-31', 'Unknown-16']",0.23815709352493286
all,Unknown-all,2,"[31, 17]","['Unknown-31', 'Unknown-17']",0.2674025297164917
all,Unknown-all,2,"[31, 18]","['Unknown-31', 'Unknown-18']",0.2945138216018677
all,Unknown-all,2,"[31, 19]","['Unknown-31', 'Unknown-19']",0.21629643440246582
all,Unknown-all,2,"[31, 20]","['Unknown-31', 'Unknown-20']",0.26868462562561035
all,Unknown-all,2,"[31, 21]","['Unknown-31', 'Unknown-21']",0.2290087640285492
all,Unknown-all,2,"[31, 22]","['Unknown-31', 'Unknown-22']",0.2503175437450409
all,Unknown-all,2,"[31, 23]","['Unknown-31', 'Unknown-23']",0.24561677873134613
all,Unknown-all,2,"[31, 24]","['Unknown-31', 'Unknown-24']",0.27837270498275757
all,Unknown-all,2,"[31, 25]","['Unknown-31', 'Unknown-25']",0.24198704957962036
all,Unknown-all,2,"[31, 26]","['Unknown-31', 'Unknown-26']",0.24325762689113617
all,Unknown-all,2,"[31, 27]","['Unknown-31', 'Unknown-27']",0.2926979064941406
all,Unknown-all,2,"[31, 28]","['Unknown-31', 'Unknown-28']",0.24123096466064453
all,Unknown-all,2,"[31, 29]","['Unknown-31', 'Unknown-29']",0.2316398322582245
all,Unknown-all,2,"[31, 30]","['Unknown-31', 'Unknown-30']",0.23008045554161072
all,Unknown-all,2,"[31, 32]","['Unknown-31', 'Unknown-32']",0.24473421275615692
all,Unknown-all,2,"[31, 33]","['Unknown-31', 'Unknown-33']",0.22226381301879883
all,Unknown-all,2,"[31, 34]","['Unknown-31', 'Unknown-34']",0.2840788662433624
all,Unknown-all,2,"[31, 35]","['Unknown-31', 'Unknown-35']",0.22900915145874023
all,Unknown-all,2,"[31, 36]","['Unknown-31', 'Unknown-36']",0.291449636220932
all,Unknown-all,2,"[31, 37]","['Unknown-31', 'Unknown-37']",0.2501972019672394
all,Unknown-all,2,"[31, 38]","['Unknown-31', 'Unknown-38']",0.23241476714611053
all,Unknown-all,2,"[31, 39]","['Unknown-31', 'Unknown-39']",0.24431493878364563
all,Unknown-all,2,"[31, 40]","['Unknown-31', 'Unknown-40']",0.2451470047235489
all,Unknown-all,2,"[31, 41]","['Unknown-31', 'Unknown-41']",0.25658613443374634
all,Unknown-all,2,"[31, 42]","['Unknown-31', 'Unknown-42']",0.22531424462795258
all,Unknown-all,2,"[31, 43]","['Unknown-31', 'Unknown-43']",0.2354896366596222
all,Unknown-all,2,"[31, 44]","['Unknown-31', 'Unknown-44']",0.24928848445415497
all,Unknown-all,2,"[31, 45]","['Unknown-31', 'Unknown-45']",0.2566820979118347
all,Unknown-all,2,"[31, 46]","['Unknown-31', 'Unknown-46']",0.2593347728252411
all,Unknown-all,2,"[31, 47]","['Unknown-31', 'Unknown-47']",0.22911188006401062
all,Unknown-all,2,"[31, 48]","['Unknown-31', 'Unknown-48']",0.22752037644386292
all,Unknown-all,2,"[31, 49]","['Unknown-31', 'Unknown-49']",0.2594538927078247
