source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
12,Unknown-12,3,"[10, 9, 0]","['Unknown-10', 'Unknown-9', 'Unknown-0']",0.19360128114931285
12,Unknown-12,3,"[10, 9, 1]","['Unknown-10', 'Unknown-9', 'Unknown-1']",0.3375393571332097
12,Unknown-12,3,"[10, 9, 2]","['Unknown-10', 'Unknown-9', 'Unknown-2']",0.31539548514410853
12,Unknown-12,3,"[10, 9, 3]","['Unknown-10', 'Unknown-9', 'Unknown-3']",0.29859241377562284
12,Unknown-12,3,"[10, 9, 4]","['Unknown-10', 'Unknown-9', 'Unknown-4']",0.24769831215962768
12,Unknown-12,3,"[10, 9, 5]","['Unknown-10', 'Unknown-9', 'Unknown-5']",0.24773717066273093
12,Unknown-12,3,"[10, 9, 6]","['Unknown-10', 'Unknown-9', 'Unknown-6']",0.22652036743238568
12,Unknown-12,3,"[10, 9, 7]","['Unknown-10', 'Unknown-9', 'Unknown-7']",0.22039071936160326
12,Unknown-12,3,"[10, 9, 8]","['Unknown-10', 'Unknown-9', 'Unknown-8']",0.2609949978068471
12,Unknown-12,3,"[10, 9, 11]","['Unknown-10', 'Unknown-9', 'Unknown-11']",0.32842517690733075
12,Unknown-12,3,"[10, 9, 13]","['Unknown-10', 'Unknown-9', 'Unknown-13']",0.2212348240427673
12,Unknown-12,3,"[10, 9, 14]","['Unknown-10', 'Unknown-9', 'Unknown-14']",0.312314840964973
12,Unknown-12,3,"[10, 9, 15]","['Unknown-10', 'Unknown-9', 'Unknown-15']",0.33293057698756456
12,Unknown-12,3,"[10, 9, 16]","['Unknown-10', 'Unknown-9', 'Unknown-16']",0.33286262024194
12,Unknown-12,3,"[10, 9, 17]","['Unknown-10', 'Unknown-9', 'Unknown-17']",0.3082373922225088
12,Unknown-12,3,"[10, 9, 18]","['Unknown-10', 'Unknown-9', 'Unknown-18']",0.32700944249518216
12,Unknown-12,3,"[10, 9, 19]","['Unknown-10', 'Unknown-9', 'Unknown-19']",0.21924822451546788
12,Unknown-12,3,"[10, 9, 20]","['Unknown-10', 'Unknown-9', 'Unknown-20']",0.30587028991431
12,Unknown-12,3,"[10, 9, 21]","['Unknown-10', 'Unknown-9', 'Unknown-21']",0.32886726316064596
12,Unknown-12,3,"[10, 9, 22]","['Unknown-10', 'Unknown-9', 'Unknown-22']",0.326396846678108
