source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,3,"[57, 42, 0]","['Unknown-57', 'Unknown-42', 'Unknown-0']",0.21084067225456238
all,Unknown-all,3,"[57, 42, 1]","['Unknown-57', 'Unknown-42', 'Unknown-1']",0.21360749006271362
all,Unknown-all,3,"[57, 42, 2]","['Unknown-57', 'Unknown-42', 'Unknown-2']",0.22590960562229156
all,Unknown-all,3,"[57, 42, 3]","['Unknown-57', 'Unknown-42', 'Unknown-3']",0.2166566550731659
all,Unknown-all,3,"[57, 42, 4]","['Unknown-57', 'Unknown-42', 'Unknown-4']",0.21529492735862732
all,Unknown-all,3,"[57, 42, 5]","['Unknown-57', 'Unknown-42', 'Unknown-5']",0.22012987732887268
all,Unknown-all,3,"[57, 42, 6]","['Unknown-57', 'Unknown-42', 'Unknown-6']",0.20762789249420166
all,Unknown-all,3,"[57, 42, 7]","['Unknown-57', 'Unknown-42', 'Unknown-7']",0.212962806224823
all,Unknown-all,3,"[57, 42, 8]","['Unknown-57', 'Unknown-42', 'Unknown-8']",0.20506827533245087
all,Unknown-all,3,"[57, 42, 9]","['Unknown-57', 'Unknown-42', 'Unknown-9']",0.2140657603740692
all,Unknown-all,3,"[57, 42, 10]","['Unknown-57', 'Unknown-42', 'Unknown-10']",0.2135041356086731
all,Unknown-all,3,"[57, 42, 11]","['Unknown-57', 'Unknown-42', 'Unknown-11']",0.22183369100093842
all,Unknown-all,3,"[57, 42, 12]","['Unknown-57', 'Unknown-42', 'Unknown-12']",0.20965997874736786
all,Unknown-all,3,"[57, 42, 13]","['Unknown-57', 'Unknown-42', 'Unknown-13']",0.21787884831428528
all,Unknown-all,3,"[57, 42, 14]","['Unknown-57', 'Unknown-42', 'Unknown-14']",0.22073113918304443
all,Unknown-all,3,"[57, 42, 15]","['Unknown-57', 'Unknown-42', 'Unknown-15']",0.22346609830856323
all,Unknown-all,3,"[57, 42, 16]","['Unknown-57', 'Unknown-42', 'Unknown-16']",0.2263360321521759
all,Unknown-all,3,"[57, 42, 17]","['Unknown-57', 'Unknown-42', 'Unknown-17']",0.22205850481987
all,Unknown-all,3,"[57, 42, 18]","['Unknown-57', 'Unknown-42', 'Unknown-18']",0.22165490686893463
all,Unknown-all,3,"[57, 42, 19]","['Unknown-57', 'Unknown-42', 'Unknown-19']",0.21480987966060638
all,Unknown-all,3,"[57, 42, 20]","['Unknown-57', 'Unknown-42', 'Unknown-20']",0.2066553235054016
all,Unknown-all,3,"[57, 42, 21]","['Unknown-57', 'Unknown-42', 'Unknown-21']",0.21928468346595764
all,Unknown-all,3,"[57, 42, 22]","['Unknown-57', 'Unknown-42', 'Unknown-22']",0.21572789549827576
all,Unknown-all,3,"[57, 42, 23]","['Unknown-57', 'Unknown-42', 'Unknown-23']",0.22053393721580505
all,Unknown-all,3,"[57, 42, 24]","['Unknown-57', 'Unknown-42', 'Unknown-24']",0.2171887904405594
all,Unknown-all,3,"[57, 42, 25]","['Unknown-57', 'Unknown-42', 'Unknown-25']",0.21229825913906097
all,Unknown-all,3,"[57, 42, 26]","['Unknown-57', 'Unknown-42', 'Unknown-26']",0.23100323975086212
all,Unknown-all,3,"[57, 42, 27]","['Unknown-57', 'Unknown-42', 'Unknown-27']",0.2132592648267746
all,Unknown-all,3,"[57, 42, 28]","['Unknown-57', 'Unknown-42', 'Unknown-28']",0.21759891510009766
all,Unknown-all,3,"[57, 42, 29]","['Unknown-57', 'Unknown-42', 'Unknown-29']",0.2224886417388916
all,Unknown-all,3,"[57, 42, 30]","['Unknown-57', 'Unknown-42', 'Unknown-30']",0.2246779501438141
all,Unknown-all,3,"[57, 42, 31]","['Unknown-57', 'Unknown-42', 'Unknown-31']",0.22501981258392334
all,Unknown-all,3,"[57, 42, 32]","['Unknown-57', 'Unknown-42', 'Unknown-32']",0.21079286932945251
all,Unknown-all,3,"[57, 42, 33]","['Unknown-57', 'Unknown-42', 'Unknown-33']",0.21569402515888214
all,Unknown-all,3,"[57, 42, 34]","['Unknown-57', 'Unknown-42', 'Unknown-34']",0.21475273370742798
all,Unknown-all,3,"[57, 42, 35]","['Unknown-57', 'Unknown-42', 'Unknown-35']",0.22147081792354584
all,Unknown-all,3,"[57, 42, 36]","['Unknown-57', 'Unknown-42', 'Unknown-36']",0.21910010278224945
all,Unknown-all,3,"[57, 42, 37]","['Unknown-57', 'Unknown-42', 'Unknown-37']",0.20974422991275787
all,Unknown-all,3,"[57, 42, 38]","['Unknown-57', 'Unknown-42', 'Unknown-38']",0.22101658582687378
all,Unknown-all,3,"[57, 42, 39]","['Unknown-57', 'Unknown-42', 'Unknown-39']",0.21445539593696594
all,Unknown-all,3,"[57, 42, 40]","['Unknown-57', 'Unknown-42', 'Unknown-40']",0.22075925767421722
all,Unknown-all,3,"[57, 42, 41]","['Unknown-57', 'Unknown-42', 'Unknown-41']",0.2189389318227768
all,Unknown-all,3,"[57, 42, 43]","['Unknown-57', 'Unknown-42', 'Unknown-43']",0.22810006141662598
all,Unknown-all,3,"[57, 42, 44]","['Unknown-57', 'Unknown-42', 'Unknown-44']",0.21840669214725494
all,Unknown-all,3,"[57, 42, 45]","['Unknown-57', 'Unknown-42', 'Unknown-45']",0.2068188637495041
all,Unknown-all,3,"[57, 42, 46]","['Unknown-57', 'Unknown-42', 'Unknown-46']",0.21734634041786194
all,Unknown-all,3,"[57, 42, 47]","['Unknown-57', 'Unknown-42', 'Unknown-47']",0.21575289964675903
all,Unknown-all,3,"[57, 42, 48]","['Unknown-57', 'Unknown-42', 'Unknown-48']",0.21611598134040833
all,Unknown-all,3,"[57, 42, 49]","['Unknown-57', 'Unknown-42', 'Unknown-49']",0.20665325224399567
all,Unknown-all,3,"[57, 42, 50]","['Unknown-57', 'Unknown-42', 'Unknown-50']",0.21627727150917053
all,Unknown-all,3,"[57, 42, 51]","['Unknown-57', 'Unknown-42', 'Unknown-51']",0.2059279829263687
all,Unknown-all,3,"[57, 42, 52]","['Unknown-57', 'Unknown-42', 'Unknown-52']",0.21135297417640686
all,Unknown-all,3,"[57, 42, 53]","['Unknown-57', 'Unknown-42', 'Unknown-53']",0.22656318545341492
all,Unknown-all,3,"[57, 42, 54]","['Unknown-57', 'Unknown-42', 'Unknown-54']",0.21597380936145782
all,Unknown-all,3,"[57, 42, 55]","['Unknown-57', 'Unknown-42', 'Unknown-55']",0.2154655158519745
all,Unknown-all,3,"[57, 42, 56]","['Unknown-57', 'Unknown-42', 'Unknown-56']",0.21914777159690857
all,Unknown-all,3,"[57, 42, 58]","['Unknown-57', 'Unknown-42', 'Unknown-58']",0.21661995351314545
all,Unknown-all,3,"[57, 42, 59]","['Unknown-57', 'Unknown-42', 'Unknown-59']",0.22236783802509308
all,Unknown-all,3,"[57, 42, 60]","['Unknown-57', 'Unknown-42', 'Unknown-60']",0.21965062618255615
all,Unknown-all,3,"[57, 42, 61]","['Unknown-57', 'Unknown-42', 'Unknown-61']",0.21667355298995972
