source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
57,Unknown-57,4,"[56, 27, 42, 0]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-0']",0.24427041644230485
57,Unknown-57,4,"[56, 27, 42, 1]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-1']",0.24870995979290456
57,Unknown-57,4,"[56, 27, 42, 2]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-2']",0.25510206050239503
57,Unknown-57,4,"[56, 27, 42, 3]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-3']",0.24649786483496428
57,Unknown-57,4,"[56, 27, 42, 4]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-4']",0.2440919834189117
57,Unknown-57,4,"[56, 27, 42, 5]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-5']",0.25774145126342773
57,Unknown-57,4,"[56, 27, 42, 6]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-6']",0.25171756371855736
57,Unknown-57,4,"[56, 27, 42, 7]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-7']",0.24384765420109034
57,Unknown-57,4,"[56, 27, 42, 8]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-8']",0.24481116607785225
57,Unknown-57,4,"[56, 27, 42, 9]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-9']",0.2521411860216176
57,Unknown-57,4,"[56, 27, 42, 10]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-10']",0.24846865236759186
57,Unknown-57,4,"[56, 27, 42, 11]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-11']",0.24786178721114993
57,Unknown-57,4,"[56, 27, 42, 12]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-12']",0.24094463232904673
57,Unknown-57,4,"[56, 27, 42, 13]","['Unknown-56', 'Unknown-27', 'Unknown-42', 'Unknown-13']",0.23727576714009047
