source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
12,Unknown-12,3,"[9, 0, 1]","['Unknown-9', 'Unknown-0', 'Unknown-1']",0.38323925668373704
12,Unknown-12,3,"[9, 0, 2]","['Unknown-9', 'Unknown-0', 'Unknown-2']",0.3974173543974757
12,Unknown-12,3,"[9, 0, 3]","['Unknown-9', 'Unknown-0', 'Unknown-3']",0.37898463010787964
12,Unknown-12,3,"[9, 0, 4]","['Unknown-9', 'Unknown-0', 'Unknown-4']",0.3614195082336664
12,Unknown-12,3,"[9, 0, 5]","['Unknown-9', 'Unknown-0', 'Unknown-5']",0.37262142915278673
12,Unknown-12,3,"[9, 0, 6]","['Unknown-9', 'Unknown-0', 'Unknown-6']",0.3216765848919749
12,Unknown-12,3,"[9, 0, 7]","['Unknown-9', 'Unknown-0', 'Unknown-7']",0.3283256432041526
12,Unknown-12,3,"[9, 0, 8]","['Unknown-9', 'Unknown-0', 'Unknown-8']",0.3427064416464418
12,Unknown-12,3,"[9, 0, 10]","['Unknown-9', 'Unknown-0', 'Unknown-10']",0.36426978080999106
12,Unknown-12,3,"[9, 0, 11]","['Unknown-9', 'Unknown-0', 'Unknown-11']",0.3624855149537325
12,Unknown-12,3,"[9, 0, 13]","['Unknown-9', 'Unknown-0', 'Unknown-13']",0.33092748560011387
12,Unknown-12,3,"[9, 0, 14]","['Unknown-9', 'Unknown-0', 'Unknown-14']",0.3494241386651993
12,Unknown-12,3,"[9, 0, 15]","['Unknown-9', 'Unknown-0', 'Unknown-15']",0.3870866894721985
12,Unknown-12,3,"[9, 0, 16]","['Unknown-9', 'Unknown-0', 'Unknown-16']",0.3867836371064186
12,Unknown-12,3,"[9, 0, 17]","['Unknown-9', 'Unknown-0', 'Unknown-17']",0.3448234701063484
12,Unknown-12,3,"[9, 0, 18]","['Unknown-9', 'Unknown-0', 'Unknown-18']",0.3305176282301545
12,Unknown-12,3,"[9, 0, 19]","['Unknown-9', 'Unknown-0', 'Unknown-19']",0.378591887652874
12,Unknown-12,3,"[9, 0, 20]","['Unknown-9', 'Unknown-0', 'Unknown-20']",0.32392215728759766
12,Unknown-12,3,"[9, 0, 21]","['Unknown-9', 'Unknown-0', 'Unknown-21']",0.33943293802440166
12,Unknown-12,3,"[9, 0, 22]","['Unknown-9', 'Unknown-0', 'Unknown-22']",0.4062735103070736
12,Unknown-12,3,"[9, 0, 23]","['Unknown-9', 'Unknown-0', 'Unknown-23']",0.39766776748001575
12,Unknown-12,3,"[9, 0, 24]","['Unknown-9', 'Unknown-0', 'Unknown-24']",0.35823084507137537
12,Unknown-12,3,"[9, 0, 25]","['Unknown-9', 'Unknown-0', 'Unknown-25']",0.38963779993355274
12,Unknown-12,3,"[9, 0, 26]","['Unknown-9', 'Unknown-0', 'Unknown-26']",0.4036797480657697
12,Unknown-12,3,"[9, 0, 27]","['Unknown-9', 'Unknown-0', 'Unknown-27']",0.3380424901843071
12,Unknown-12,3,"[9, 0, 28]","['Unknown-9', 'Unknown-0', 'Unknown-28']",0.3589506568387151
