source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,4,"[57, 42, 8, 0]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-0']",0.28137341141700745
all,Unknown-all,4,"[57, 42, 8, 1]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1']",0.25425052642822266
all,Unknown-all,4,"[57, 42, 8, 2]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-2']",0.2778213918209076
all,Unknown-all,4,"[57, 42, 8, 3]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-3']",0.2994331121444702
all,Unknown-all,4,"[57, 42, 8, 4]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-4']",0.2702161967754364
all,Unknown-all,4,"[57, 42, 8, 5]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-5']",0.2928907573223114
all,Unknown-all,4,"[57, 42, 8, 6]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-6']",0.2708430290222168
all,Unknown-all,4,"[57, 42, 8, 7]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-7']",0.2636229693889618
all,Unknown-all,4,"[57, 42, 8, 9]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-9']",0.2713865339756012
all,Unknown-all,4,"[57, 42, 8, 10]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-10']",0.27133944630622864
all,Unknown-all,4,"[57, 42, 8, 11]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-11']",0.2647262215614319
all,Unknown-all,4,"[57, 42, 8, 12]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-12']",0.2627878189086914
all,Unknown-all,4,"[57, 42, 8, 13]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-13']",0.2694818675518036
all,Unknown-all,4,"[57, 42, 8, 14]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-14']",0.2681797742843628
all,Unknown-all,4,"[57, 42, 8, 15]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-15']",0.2769489288330078
all,Unknown-all,4,"[57, 42, 8, 16]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-16']",0.27424150705337524
all,Unknown-all,4,"[57, 42, 8, 17]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-17']",0.28362858295440674
all,Unknown-all,4,"[57, 42, 8, 18]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-18']",0.2716957628726959
all,Unknown-all,4,"[57, 42, 8, 19]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-19']",0.27425825595855713
all,Unknown-all,4,"[57, 42, 8, 20]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-20']",0.2573506832122803
all,Unknown-all,4,"[57, 42, 8, 21]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-21']",0.26778921484947205
all,Unknown-all,4,"[57, 42, 8, 22]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-22']",0.26925593614578247
all,Unknown-all,4,"[57, 42, 8, 23]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-23']",0.2719314396381378
all,Unknown-all,4,"[57, 42, 8, 24]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-24']",0.2650979459285736
all,Unknown-all,4,"[57, 42, 8, 25]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-25']",0.25803467631340027
all,Unknown-all,4,"[57, 42, 8, 26]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-26']",0.2788240909576416
all,Unknown-all,4,"[57, 42, 8, 27]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-27']",0.2593161165714264
